,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
0,790837670,Iphone 6S 64 Gigs Verizon,150.0,Used (normal wear),150 dollars or best offer. I can trade for AirPods. ,4,Local pickup (19 miles away),No shipping INFO!,19.0,,,"Escondido, CA",Escondido, CA,5 minutes 
1,790753176,New In Box Apple iPhone 6S Plus Boost Mobile/Sprint Clear ESN,300.0,New (never used),Brand new in box has never been used. It has no scratches on the phone anywhere. It comes in its original box with all original accessories which are sealed.,1,No delivery INFO!,"Ships from Glendale, AZ for $7.49",,"Glendale, AZ",7.49,"Glendale, AZ",Glendale, AZ,4 hours 
2,790278442,iPhone 6s Plus Factory Unlocked 64gm,280.0,Used (normal wear),iPhone 6s Plus Factory Unlocked 64 gb w/Box,4,Local pickup (15 miles away),No shipping INFO!,15.0,,,"National City, CA",National City, CA,6 hours 
3,790697792,"Iphones 6s, 7, and 8.",240.0,Used (normal wear),"Iphones 6s, 7, and 8.$140 - 6s- 64GB Verizon $240 - 7 - 128GB Verizon $340 - 8 - 64GB AT&T,  only good for att, unless you unlock yourself for other carriers. 6 and 7 work with any carrier.El cell de AT&T solo funciona con AT&T. El 6 y el 7 con cualquier compañía.  All great shape,  everything works. Cell phone only. Todos están al 100, no fallasPrecios  o mejor oferta. Prices or best offer.  ",4,Local pickup (12 miles away),No shipping INFO!,12.0,,,"San Diego, CA",San Diego, CA,7 hours 
4,790641355,iPhone 6s plus very good condition.,200.0,Used (normal wear),Very good condition. ,2,Local pickup (15 miles away),No shipping INFO!,15.0,,,"El Cajon, CA",El Cajon, CA,8 hours 
5,790507906,IPhone 6s Plus AT&T/Cricket 64gb,175.0,Used (normal wear),"Works for att or cricket Everything works except Touch ID Pick up in CarlsbadNo cracks or damage to screen or body of phoneClean IMEI, no iCloud lock Feel free to test before you buy  I consider trade/ $$ off for iPhones working broken even iCloud locked.  Tell me the model, carrier, GB, condition AND HOW MUCH YOU WANT IN TRADE FOR IT",3,Local pickup (16 miles away),No shipping INFO!,16.0,,,"Carlsbad, CA",Carlsbad, CA,12 hours 
6,790497321,iPhone 6s,80.0,Used (normal wear),The front screen is cracked but the back is perfect. Replacement on the front isn’t expensive reason why price is low. It’s 16 Gb and is unlocked for any carrier. A great starter phone. Message me if you have any questions!,2,Local pickup (25 miles away),No shipping INFO!,25.0,,,"Ramona, CA",Ramona, CA,12 hours 
7,790401345,Iphone 6s 32gb UNLOCK,200.0,Open box (never used),Almost brand new.. No scratches very well taken care off.. just upgraded no need of it... Open for trade!!,6,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,15 hours 
8,790275863,iPhone 6s Factory Unlocked 64gb,250.0,Used (normal wear),iPhone 6s Factory Unloked 64gb w/BoxNewtrent case protection silver & gold ,2,Local pickup (14 miles away),No shipping INFO!,14.0,,,"San Diego, CA",San Diego, CA,1 day 
9,790250127,iPhone 6s,160.0,Used (normal wear),"Works well, bought a new phone so I need to sell this one.Unlocked ",2,Local pickup (13 miles away),No shipping INFO!,13.0,,,"San Diego, CA",San Diego, CA,1 day 
