,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Iphone X UNLOCKED - Black 256GB,475,2019-12-02 18:12,True,good,7031128405,False,14.217210946770134
1,iPhone X 256 GB UNLOCKED,525,2019-12-02 17:14,True,like new,7027203205,False,8.38149755343288
2,iPhone X 256 GB UNLOCKED,425,2019-12-02 17:14,True,like new,7027841001,False,8.38149755343288
3,iPhone X,480,2019-12-02 14:16,True,excellent,7030993997,True,15.563813456624333
4,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-12-02 14:06,True,like new,7028559410,False,8.837883911520976
5,Sell me your Iphone X ! Top %^& BuyeR!,0,2019-12-02 13:21,True,like new,7028559400,False,8.837883911520976
6,Mint iPhone X Apple With 256 GB Carrier Free Warranty Included,230,2019-12-02 13:13,True,like new,7030945979,False,40.69540248827379
7,Apple iPhone X 64GB Black Unlocked,510,2019-12-02 12:56,True,like new,7027018431,False,9.243227078260857
8,FIRM PRICE! Brand New Premium Case for iPhone X or XS,15,2019-12-02 12:15,True,new,7030891992,False,11.36474645482835
9,Original iPhone chargers can meet anywhere in SD area,10,2019-12-02 11:28,True,new,7025933907,False,18.544331350715467
10,IPHONE X OR IPHONE XS CELLPHONE CASE / CHARGING CASE,30,2019-12-02 11:28,True,like new,7026006757,False,18.544331350715467
11,IPhone X 256gb unlocked for Verizon networks brand new accessories,520,2019-12-02 11:27,True,like new,7024112471,False,6.1423166155169335
12,iPhone X 64gb AT&T,450,2019-12-02 11:07,True,Unknown,7030838344,False,5.585629338335542
13,Buyer Buy IPhone x max xs xr 11 pro max ipad Apple watch,0,2019-12-02 08:49,True,good,7030624565,True,16.87822244149898
14,IPhone X Case Game Console Play Gameboy Tetris,10,2019-12-01 18:50,True,new,7029185110,False,13.058698165001628
15,iPhone X 256GB,500,2019-12-01 17:32,True,Unknown,7025869113,True,10.246047191510852
16,iPhone X 256GB,480,2019-12-01 17:32,True,Unknown,7028269839,True,10.246047191510852
