,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,"IPHONE 7 ,7 PLUS ICOUD BUYER",10000,2019-12-01 21:13,False,fair,7029360776,True,16.64027781287393
1,** IPhone 7+ Plus - 32 GB - unlocked in Good Condition - $250 obo,250,2019-12-01 18:57,True,good,7030454393,False,9.333879685355683
2,** IPhone 7+ Plus - 32 GB - unlocked in PERFECT Condition - $300 obo,300,2019-12-01 18:51,True,like new,7030452157,False,5.8292565744727645
3,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-12-01 18:44,False,Unknown,7029307978,True,12.687232062916744
4,"iPhone 8 Plus/7 Plus/6s Plus/6 Plus (5.5"") UAG Trooper Card Case",15,2019-12-01 18:44,True,excellent,7030428396,False,14.820068996417623
5,iPhone 7 32GB,200,2019-12-01 18:25,True,excellent,7030441684,False,16.403055396951395
6,iPhone 7 Plus Black 32GB *excellent condition (works with any carrier),300,2019-12-01 17:15,True,Unknown,7025061938,False,13.420966436204997
7,IPhone 7 Plus 256gb,280,2019-12-01 16:32,True,Unknown,7030390822,False,21.58145216364907
8,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-12-01 16:07,False,Unknown,7030358835,True,12.687232062916744
9,Unlocked IPhone 7 32gb,220,2019-12-01 15:58,True,Unknown,7023445484,True,6.1423166155169335
10,Iphone 7 Plus 128Gig,260,2019-12-01 15:27,True,Unknown,7017073527,False,23.220769937508308
11,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-12-01 12:44,False,Unknown,7030241475,True,12.687232062916744
12,"Cracked screen, fully functional iPhone 7 Plus 128 GB",180,2019-12-01 11:29,True,Unknown,7027920831,False,1245.247032431583
13,**//Print **MINT** iPhone 7 Plus 128gb* *//Black**//**Mint COND**//**/,100,2019-12-01 11:28,True,Unknown,7030189084,False,11.265175588620824
14,"Cracked screen, fully functional iPhone 7 Plus 128 GB",180,2019-12-01 11:27,True,Unknown,7030206796,False,1245.247032431583
15,**//Print **MINT** iPhone 7 Plus 128gb* *//Black**//**Mint COND**//**/,100,2019-12-01 11:21,True,Unknown,7030189083,False,11.207652005449622
16,iPhone 7 Plus 128gb,235,2019-12-01 10:52,True,Unknown,7030181800,False,23.316588248804617
17,iPhone 7 plus,250,2019-12-01 09:50,True,excellent,7030139583,False,12.714669937550394
18,//**X-men: Days Of Future Past iPhone 7 Plus Mint - //**Y-men - - -,100,2019-12-01 09:42,True,Unknown,7030063709,True,11.533039986076774
19,//**X-men: Days Of Future Past iPhone 7 Plus Mint - //**Y-men - - -,100,2019-12-01 09:05,True,Unknown,7030063700,True,11.827944727210436
20,otterbox defender ror 7&8 plus iphone,0,2019-12-01 08:40,False,Unknown,7026259021,True,33.67753331314531
21,Lifeproof FRĒ SERIES Waterproof Case for iPhone 8 & 7,30,2019-12-01 07:51,True,Unknown,7030066932,False,13.354379722495864
22,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-12-01 07:07,False,Unknown,7030041924,True,12.687232062916744
23,Catalyst iPhone 7 or 8 case cost 90$ at stores waterproof drop proof sand proof,25,2019-12-01 06:43,True,new,7024472723,False,14.3312483606242
24,iPhone 7+ and Apple Watch,750,2019-11-30 22:44,True,Unknown,7027439808,False,16.87822244149898
25,iPhone 7,250,2019-11-30 20:07,True,Unknown,7013581734,False,22.045820092313335
26,Firm Price! Brand New in a Box Battery Case for iPhone 7/8,30,2019-11-30 16:58,True,new,7029858185,False,11.36474645482835
27,iPhone 7 Plus 128,230,2019-11-30 15:53,True,Unknown,7029839194,False,5.8292565744727645
28,Mint Glass Protector / firm on price,0,2019-11-30 15:48,True,Unknown,7027440367,False,12.687232062916744
29,Mint Glass Protector / firm on price,0,2019-11-30 15:46,True,Unknown,7027440421,False,12.687232062916744
30,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 15:35,False,Unknown,7018401563,True,12.687232062916744
31,iPhone 7 32GB UNLOCKED,235,2019-11-30 14:38,True,excellent,7029800668,False,8.38149755343288
32,iPhone 7 32gb t-mobile metro,275,2019-11-30 14:01,True,like new,7029778041,False,16.19670783214613
33,iPhone 7 - Verizon,95,2019-11-30 13:44,False,good,7029767238,True,10.658264005575704
34,Unlocked IPhone 7 Plus 128gb,280,2019-11-30 13:42,True,Unknown,7026333291,True,6.1423166155169335
35,Iphone 7 Black 32gb  AT&T,220,2019-11-30 12:40,True,like new,7024681663,True,101.84041255731614
36,Iphone 7 128gb Unlocked,250,2019-11-30 12:40,True,like new,7027209920,False,8.38149755343288
37,Iphone 7 128gb Unlocked,250,2019-11-30 12:40,True,like new,7027710148,False,8.38149755343288
38,Mint Glass Protector / firm on price,0,2019-11-30 12:23,True,Unknown,7027440420,False,12.687232062916744
39,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 11:35,False,Unknown,7029648052,True,12.687232062916744
40,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:28,True,Unknown,7010978540,False,16.093159241408223
41,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:17,True,Unknown,7010978542,False,16.093159241408223
42,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 10:41,False,Unknown,7029627979,True,12.687232062916744
43,iPhone 8 Plus/7 Plus/6 Plus/6s Plus 4000mAh charging case Rose Gold,10,2019-11-30 10:15,True,like new,7025503718,False,14.820068996417623
44,iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,0,2019-11-30 10:16,True,Unknown,7026736335,False,3.1604504029266764
45,iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,0,2019-11-30 09:43,True,Unknown,7026736423,False,3.1604504029266764
46,"iPhone Clear Case with Ring for iPhone 8 Plus, 7 Plus",6,2019-11-30 09:24,True,excellent,7025639026,False,7.879326191961453
