,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,Samsung Galaxy S9 cases,20,2019-12-02 17:06,True,new,7031089653,True,24.12105257729043
1,Samsung Galaxy S9 64GB Purple,300,2019-12-02 16:22,True,like new,7031073688,False,7.3141063899933645
2,Samsung s9+,250,2019-12-02 13:28,False,good,7030957885,False,9.333879685355683
3,Samsung Galaxy S9 Plus Purple Unlocked,380,2019-12-02 12:53,True,excellent,7027013767,False,9.252339935649116
4,Samsung galaxy s9 64BG,320,2019-12-02 06:40,True,excellent,7030612796,True,23.247891137309747
5,Samsung Galaxy S9+ 64GB in Black,300,2019-12-01 18:44,True,excellent,7030448678,True,2.22786771072064
6,Samsung Galaxy S9 plus Patriots COVER.,30,2019-11-30 11:04,True,Unknown,7029653931,False,16.71418471316016
7,Samsung S9+,350,2019-11-29 13:40,True,like new,7029180344,True,13.058698165001628
8,Unlocked Samsung Galaxy S9 Black 64GB,300,2019-11-29 12:12,True,like new,7029123186,False,13.396103789966118
9,Case for Samsung Galaxy S9+ --- MAKE OFFER,30,2019-11-29 09:48,True,Unknown,7029016837,True,12.12631917530565
10,Samsung Galaxy S9,350,2019-11-25 20:09,True,excellent,7027267100,False,22.808221627172475
11,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),399,2019-11-20 18:09,True,Unknown,7024130632,True,12.714669937550394
12,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-20 17:55,True,Unknown,7024124372,True,12.714669937550394
13,Samsung Galaxy S8/S8 Plus/ S9/ S9 Plus / Note 8/ Note 9 Repair,0,2019-11-16 10:45,True,Unknown,7021333691,True,12.714669937550394
14,Samsung Galaxy S9 Plus Unlocked ( all colors in stock),449,2019-11-11 18:41,True,Unknown,7018354384,True,12.714669937550394
15,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-12-02 03:54,True,Unknown,7018430476,False,12.374731283630094
16,CASH for your LOCKED GALAXY S8 S9 S10 Note 8 or 9,350,2019-12-02 03:54,True,Unknown,7022233621,False,12.374731283630094
17,NEW $100 Samsung AKG Head Set (earbuds)--------- New S-10E Cover,39,2019-12-01 20:43,True,good,7013797482,False,18.544331350715467
18,"Samsung Galaxy Note 9,  Unlocked (verizon rom)! Great Condition!",390,2019-11-29 20:11,False,excellent,7029351360,False,8.513192381240714
19,Galaxy S9,250,2019-11-29 14:44,True,good,7029218069,False,12.026527656315686
