,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,iPhone 7,250,2019-11-30 20:07,True,Unknown,7013581734,False,22.045820092313335
1,Unlocked 128gb IPhone 7Plus,250,2019-11-30 17:28,False,good,7029880267,False,14.759649055591936
2,Firm Price! Brand New in a Box Battery Case for iPhone 7/8,30,2019-11-30 16:58,True,new,7029858185,False,11.36474645482835
3,iPhone 7 Plus 128,230,2019-11-30 15:53,True,Unknown,7029839194,False,5.8292565744727645
4,Mint Glass Protector / firm on price,0,2019-11-30 15:48,True,Unknown,7027440367,False,12.687232062916744
5,Mint Glass Protector / firm on price,0,2019-11-30 15:46,True,Unknown,7027440421,False,12.687232062916744
6,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 15:35,False,Unknown,7018401563,True,12.687232062916744
7,iPhone 7 32GB UNLOCKED,235,2019-11-30 14:38,True,excellent,7029800668,False,8.38149755343288
8,iPhone 7 32gb t-mobile metro,275,2019-11-30 14:01,True,like new,7029778041,False,16.19670783214613
9,iPhone 7 - Verizon,95,2019-11-30 13:44,False,good,7029767238,True,10.658264005575704
10,Unlocked IPhone 7 Plus 128gb,280,2019-11-30 13:42,True,Unknown,7026333291,True,6.1423166155169335
11,Iphone 7 Black 32gb  AT&T,220,2019-11-30 12:40,True,like new,7024681663,True,101.84041255731614
12,Iphone 7 128gb Unlocked,250,2019-11-30 12:40,True,like new,7027209920,False,8.38149755343288
13,Iphone 7 128gb Unlocked,250,2019-11-30 12:40,True,like new,7027710148,False,8.38149755343288
14,Mint Glass Protector / firm on price,0,2019-11-30 12:23,True,Unknown,7027440420,False,12.687232062916744
15,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 11:35,False,Unknown,7029648052,True,12.687232062916744
16,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:28,True,Unknown,7010978540,False,16.093159241408223
17,Slighlty cracked Glass Protector / negotiable,0,2019-11-30 11:17,True,Unknown,7010978542,False,16.093159241408223
18,iPhone 7 Plus,260,2019-11-30 10:45,True,Unknown,7029638004,True,10.246047191510852
19,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-11-30 10:41,False,Unknown,7029627979,True,12.687232062916744
