,Name,Price,postDate,HasImage,Attributes,postID,contactInfo,distance
0,🎈iPhone wanted call or txt mee6l9x3o1-4-7/4-8/cCASHxREADY-/ MACBOOK,900,2019-12-02 21:26,False,Unknown,7029627979,True,12.687232062916744
1,Barely used iPhone 7 Plus 128GB,100,2019-12-02 20:51,True,Unknown,7031185730,True,145.77489892524676
2,"Iphone 6s,7,8 3 Tempered Glasses Screen Protector",29,2019-12-02 18:35,True,new,7031091323,True,24.12105257729043
3,iPhone 7 Plus 256GB,400,2019-12-02 18:29,True,like new,7031136322,False,5.174588678026387
4,iPhone 7 Plus 128,170,2019-12-02 18:02,True,Unknown,7031124554,True,5.8292565744727645
5,Iphone 7 Black 32gb  AT&T,220,2019-12-02 17:14,True,like new,7024681663,True,101.84041255731614
6,Iphone 7 128gb Unlocked,250,2019-12-02 17:14,True,like new,7027209920,False,8.38149755343288
7,iPhone 7 32GB,225,2019-12-02 17:05,True,like new,7031065197,True,8.38149755343288
8,Iphone 7 128gb Unlocked,285,2019-12-02 16:16,True,like new,7027710148,False,8.38149755343288
9,iPhone 7 256GB,325,2019-12-02 16:08,True,like new,7031062480,False,8.38149755343288
10,Mint Glass Protector / firm on price,0,2019-12-02 16:00,True,Unknown,7027440367,False,12.687232062916744
11,APPLE IPHONE 7 and 7 plus Battery replacement fix repair,24,2019-12-02 15:57,True,new,7027758600,True,22.96676869583797
12,iPhone 7 32GB UNLOCKED,235,2019-12-02 15:37,True,excellent,7029800668,False,8.38149755343288
13,Mint Glass Protector / firm on price,0,2019-12-02 14:53,True,Unknown,7027440420,False,12.687232062916744
14,Like new IPhone 7 Plus 128 gig w/new Otterbox case,330,2019-12-02 14:39,False,Unknown,7031010268,False,22.922754338778788
15,Unlocked IPhone 7 Plus 128gb,280,2019-12-02 14:26,True,Unknown,7026333291,True,21.58145216364907
16,Almost new iPhone - needs nothing,0,2019-12-02 14:06,True,Unknown,7027369957,False,13.369987021648157
17,iPhone 7 Plus 32GB Rose Gold Unlocked,250,2019-12-02 12:53,True,like new,7027054601,False,9.23048395758023
18,Apple iPhone 7 32GB Silver Unlocked,215,2019-12-02 12:53,True,excellent,7029029379,False,9.248177739968222
