ModelName,AveragePrice
Pixel2,226.9153289794922
Pixel4,435.62996673583984
Pixel3,380.24246978759766
IP6s,177.3028564453125
IPX,502.44532775878906
S7,165.26617813110352
S9,327.6528854370117
S8,253.76765823364258
IP7,471.15901947021484
IP6,431.5930480957031
