,Mean Price,New Post,,,,
Iphone x,608.001618018087,62.3333333333333,,,,
Iphone 7,552.682326636665,54.3333333333333,,,,
Iphone 6s,621.927449965494,22.6666666666667,,,,
iphone 6,173.701587301587,16,,,,
